id,date,store_nbr,family,sales,onpromotion
0,2013-01-01,1,AUTOMOTIVE,0.0,0
1,2013-01-01,1,BABY CARE,0.0,0
2,2013-01-01,1,BEAUTY,0.0,0
3,2013-01-01,1,BEVERAGES,0.0,0
4,2013-01-01,1,BOOKS,0.0,0
5,2013-01-01,1,BREAD/BAKERY,0.0,0
6,2013-01-01,1,CELEBRATION,0.0,0
7,2013-01-01,1,CLEANING,0.0,0
8,2013-01-01,1,DAIRY,0.0,0
9,2013-01-01,1,DELI,0.0,0
10,2013-01-01,1,EGGS,0.0,0
11,2013-01-01,1,FROZEN FOODS,0.0,0
12,2013-01-01,1,GROCERY I,0.0,0
13,2013-01-01,1,GROCERY II,0.0,0
14,2013-01-01,1,HARDWARE,0.0,0
15,2013-01-01,1,HOME AND KITCHEN I,0.0,0
16,2013-01-01,1,HOME AND KITCHEN II,0.0,0
17,2013-01-01,1,HOME APPLIANCES,0.0,0
18,2013-01-01,1,HOME CARE,0.0,0
19,2013-01-01,1,LADIESWEAR,0.0,0
20,2013-01-01,1,LAWN AND GARDEN,0.0,0
21,2013-01-01,1,LINGERIE,0.0,0
22,2013-01-01,1,"LIQUOR,WINE,BEER",0.0,0
23,2013-01-01,1,MAGAZINES,0.0,0
24,2013-01-01,1,MEATS,0.0,0
25,2013-01-01,1,PERSONAL CARE,0.0,0
26,2013-01-01,1,PET SUPPLIES,0.0,0
27,2013-01-01,1,PLAYERS AND ELECTRONICS,0.0,0
28,2013-01-01,1,POULTRY,0.0,0
29,2013-01-01,1,PREPARED FOODS,0.0,0
30,2013-01-01,1,PRODUCE,0.0,0
31,2013-01-01,1,SCHOOL AND OFFICE SUPPLIES,0.0,0
32,2013-01-01,1,SEAFOOD,0.0,0
363,2013-01-01,2,AUTOMOTIVE,0.0,0
364,2013-01-01,2,BABY CARE,0.0,0
365,2013-01-01,2,BEAUTY,0.0,0
366,2013-01-01,2,BEVERAGES,0.0,0
367,2013-01-01,2,BOOKS,0.0,0
368,2013-01-01,2,BREAD/BAKERY,0.0,0
369,2013-01-01,2,CELEBRATION,0.0,0
370,2013-01-01,2,CLEANING,0.0,0
371,2013-01-01,2,DAIRY,0.0,0
372,2013-01-01,2,DELI,0.0,0
373,2013-01-01,2,EGGS,0.0,0
374,2013-01-01,2,FROZEN FOODS,0.0,0
375,2013-01-01,2,GROCERY I,0.0,0
376,2013-01-01,2,GROCERY II,0.0,0
377,2013-01-01,2,HARDWARE,0.0,0
378,2013-01-01,2,HOME AND KITCHEN I,0.0,0
379,2013-01-01,2,HOME AND KITCHEN II,0.0,0
380,2013-01-01,2,HOME APPLIANCES,0.0,0
381,2013-01-01,2,HOME CARE,0.0,0
382,2013-01-01,2,LADIESWEAR,0.0,0
383,2013-01-01,2,LAWN AND GARDEN,0.0,0
384,2013-01-01,2,LINGERIE,0.0,0
385,2013-01-01,2,"LIQUOR,WINE,BEER",0.0,0
386,2013-01-01,2,MAGAZINES,0.0,0
387,2013-01-01,2,MEATS,0.0,0
388,2013-01-01,2,PERSONAL CARE,0.0,0
389,2013-01-01,2,PET SUPPLIES,0.0,0
390,2013-01-01,2,PLAYERS AND ELECTRONICS,0.0,0
391,2013-01-01,2,POULTRY,0.0,0
392,2013-01-01,2,PREPARED FOODS,0.0,0
393,2013-01-01,2,PRODUCE,0.0,0
394,2013-01-01,2,SCHOOL AND OFFICE SUPPLIES,0.0,0
395,2013-01-01,2,SEAFOOD,0.0,0
726,2013-01-01,3,AUTOMOTIVE,0.0,0
727,2013-01-01,3,BABY CARE,0.0,0
728,2013-01-01,3,BEAUTY,0.0,0
729,2013-01-01,3,BEVERAGES,0.0,0
730,2013-01-01,3,BOOKS,0.0,0
731,2013-01-01,3,BREAD/BAKERY,0.0,0
732,2013-01-01,3,CELEBRATION,0.0,0
733,2013-01-01,3,CLEANING,0.0,0
734,2013-01-01,3,DAIRY,0.0,0
735,2013-01-01,3,DELI,0.0,0
736,2013-01-01,3,EGGS,0.0,0
737,2013-01-01,3,FROZEN FOODS,0.0,0
738,2013-01-01,3,GROCERY I,0.0,0
739,2013-01-01,3,GROCERY II,0.0,0
740,2013-01-01,3,HARDWARE,0.0,0
741,2013-01-01,3,HOME AND KITCHEN I,0.0,0
742,2013-01-01,3,HOME AND KITCHEN II,0.0,0
743,2013-01-01,3,HOME APPLIANCES,0.0,0
744,2013-01-01,3,HOME CARE,0.0,0
745,2013-01-01,3,LADIESWEAR,0.0,0
746,2013-01-01,3,LAWN AND GARDEN,0.0,0
747,2013-01-01,3,LINGERIE,0.0,0
748,2013-01-01,3,"LIQUOR,WINE,BEER",0.0,0
749,2013-01-01,3,MAGAZINES,0.0,0
750,2013-01-01,3,MEATS,0.0,0
751,2013-01-01,3,PERSONAL CARE,0.0,0
